ON,$ON
AUTOMATIC_ADJUSTMENT,AAJ
#ABBREVIATION,AB
AMERICAN_BANK_ASSOCIATION,ABA
AGING_BAND,ABD
ABEND,ABE
ACTIVITY_BLOCKING,ABG
AVERAGE_BACK,ABK
ABSOLUTE,ABL
ABNORMAL,ABN
ABORT,ABO
ABSORPTION,ABP
ABBREVIATED,ABR
ABBREVIATION,ABR
ABSENCE,ABS
ABSTRACT,ABT
ACTION_BAR,ACB
ACCOUNT,ACC
ACCUMULATED,ACD
ACCOUNTING,ACG
ACTIVE,ACI
ACKNOWLEDGE,ACK
ACKNOWLEDGEMENT,ACK
ACCELERATION,ACL
ACCUMULATION,ACM
ACCOMPANYING,ACO
ACCEPT,ACP
ACCEPTANCE,ACP
ACCEPTED,ACP
ACCRUAL,ACR
ACCRUED,ACR
ACCESS,ACS
ACTION,ACT
AVERAGE_CURRENT,ACU
ACCRUAL_RECOVERY,ACV
ACCOUNT_WITH,ACW
AUTO_CALL_DISTRIBUTION,ACX
#ADDRESS,AD
ADDRESS_DATABASE,ADB
ADVANCE,ADC
ADVANCED,ADC
ADDRESS,ADD
ADDRESSING,ADD
ADDENDUM,ADE
ADHERENT,ADH
ADJUST,ADJ
ADJUSTED,ADJ
ADJUSTMENT,ADJ
ADDITIONAL,ADL
ADMINISTRATIVE,ADM
ADMINISTRATOR,ADM
ABANDON,ADN
AVIS_D_OPERE,ADO
ADDITIONAL_PROCESSING,ADP
ADEQUACY,ADQ
ADDITIONAL_SCENARIO,ADS
ADVICE,ADV
ADVISED,ADV
AREA,AEA
AFTER_EXCHANGE,AEX
AFTER_CHAINING,AFC
AFFECTED,AFE
AFFIDAVIT,AFF
AFFILIATION,AFL
AFTERNOON,AFN
AFTER,AFT
AGENDA,AGD
AGE,AGE
AGING,AGE
AGENCY_FEES,AGF
AGGREGATE,AGG
AGGREGATED,AGG
AGGREGATION,AGG
AGE_LIMIT,AGL
AGREEMENT,AGR
AGENCY,AGT
AGENT,AGT
#ACCRUED_INTEREST,AI
AIBD,AIB
ACCRUED_INTEREST_DAY,AID
ACTUAL_INTERNAL_EXECUTION,AIE
ACCRUED_INTEREST,AIT
GERMAN_KASSENVEREIN,AKV
ALLOCATION_BASIS,ALB
ALLOCATE,ALC
ALLOCATED,ALC
ALLOCATION,ALC
ALIVE,ALE
ALGORITHM,ALG
ALIAS,ALI
ALL,ALL
ALARM,ALM
ALIGNMENT,ALN
ALLOTMENT,ALO
ALPHA,ALP
ALPS,ALS
ALTERNATE,ALT
ALTERNATIVE,ALT
ALLOWED_VARIANCE,ALV
ALLOW,ALW
ALLOWED,ALW
#AMOUNT,AM
AMERICA,AMA
AMERICAN,AMA
AMENDMENT,AMD
ACCOUNT_MOVEMENTS_INPUT,AMI
ACTIVITY_MESSAGE,AMS
AMOUNT,AMT
AGGREGATE_MARGIN_VALUE,AMV
ANALYST,ANA
ALLOCATED_NEW_BORROWING,ANB
AND,AND
ANNUAL,ANL
ANNOUNCED,ANO
ANNOUNCEMENT,ANO
ANALYSIS,ANS
ANTICIPATED,ANT
ANNIVERSARY,ANV
ANSWER,ANW
ANNEX,ANX
ANY,ANY
ACTION_ON_ASSETS,AOA
APPROVED_BY,APB
APPROVER,APB
ACTIVITY_PROCEED,APC
ACTIVE_PERIOD,APD
ANTE_PENULTIMATE,APE
APRIL,API
APPLICABILITY,APL
APPLICABLE,APL
APPLICATION,APL
APPLIED,APL
APPLICATION_PROJECT_MGNT,APM
APPOINT,APO
ACTUAL_PURCHASE_PRICE,APP
APPRECIATION,APR
ACCOUNTS_PAYABLE_SYSTEM,APS
APPLICATION_UNIT,APU
APPROVAL,APV
APPROVED,APV
APPENDIX,APX
AGAINST_PAYMENT,APY
ARGUMENT,ARG
ARCHIVE,ARH
ARCHIVES,ARH
ARCHIVING,ARH
AIRPORT,ARP
ARRIVAL,ARR
AFTER_REVALUATION,ARV
ALREADY,ARY
ASIA,ASA
ASIAN,ASA
ASYNCHRONOUS,ASC
ADDRESSEE,ASE
AS_OF,ASF
ASSIGNED,ASG
ASSIGNMENT,ASG
ASSISTANT,ASI
ASK,ASK
AUTOSELECT,ASL
ASSESSMENT,ASM
REPLICATION_CONTROL,ASN
ASSOCIATE,ASO
ASSOCIATED,ASO
ASSOCIATION,ASO
ACTIVE_SERVER_PAGE,ASP
AT_SOURCE,ASR
ASSET,ASS
AGGREGATED_STATUS,AST
ASSUMPTION,ASU
AUSTRALIA,ATA
ATOMIC,ATC
APPLICATION_ON_TANDEM,ATD
ATTENDANCE,ATE
ATTENDED,ATE
AUTHENTICATION,ATH
ACTUAL,ATL
AUTOMATIC,ATM
ATTENTION,ATN
ATTORNEY,ATO
AT_QUEUE,ATQ
ATTRIBUTE,ATR
ATTRIBUTION,ATR
ATTESTATION,ATS
ATTACH,ATT
ATTACHED,ATT
AST_TOUCH_EXTENSION,ATX
ACTIVITY,ATY
AMORTIZEMENT,ATZ
AUTOMATIC_BORROWING,AUB
AUCTION,AUC
AUDIT,AUD
AUGUST,AUG
ALREADY_USED_IN,AUI
ACTIVITY_UPDATE,AUP
AUTHORIZATION,AUS
AUTHORITY,AUT
AVAILABILITY,AVB
AVAILABLE,AVB
AVERAGE,AVG
AWAY,AWA
ANSWERBACK,AWB
AWARD,AWD
ACTIVITY_WINDOW,AWW
APPROXIMATE,AXM
ACTIVITY_EXERCISE,AXR
AXIS,AXS
AUTHORIZER,AZR
BANK_ACCOUNT,BAC
BAND,BAD
BASIS_DATE,BAD
BALANCE,BAL
BALANCED,BAL
BALANCING,BAL
BOND_AND_OTHER,BAO
BASIC_POINT,BAP
BATCH_REPORTING,BAR
BASIS,BAS
BIG_BANG,BBG
BELGIAN_BANK_OFFICE,BBO
BULLETIN_BOARD,BBS
BULLETIN_BOARD_SYSTEM,BBS
BARCODE,BCD
BATCH,BCH
$BACK,BCK
BACHMAN,BCM
BACKOUT,BCO
BASE_CURRENCY,BCR
BATCH_CONTROL_SYSTEM,BCS
BUCKET,BCT
BACK_VALUATION,BCV
BACK_VALUE,BCV
BUDGET,BDG
BONDLENDING,BDL
BORDER,BDR
BLOCKING_DATE,BDT
BEARER,BEA
BELGIAN_FRANCS,BEF
BEGINNING,BEG
BELGIUM,BEL
BESS,BES
BEFORE_CHAINING,BFC
BUSINESS_FUNCTION,BFN
BEFORE,BFO
BUFFERPOOL,BFP
BENEFIT,BFT
BARGAIN,BGN
BEHAVIOUR,BHV
BANK_IDENTIFIER_CODE,BIC
BID,BID
BIND,BIN
BINDING,BIN
BANKERS_ALMANAC,BKA
BOOKED,BKD
BOOKING,BKD
BANK_FILE,BKF
BACKGROUND,BKG
BACKLOG,BKL
BANK_ORDER,BKO
BOOKKEEPING,BKP
BROKER,BKR
BOOK_TRANSFER,BKT
BACKUP,BKU
#BALANCE,BL
BLANK,BLA
BUILD,BLD
BUILDING,BLD
BILLING,BLG
BLOCK,BLK
BLOCKAGE,BLK
BLOCKED,BLK
BLOCKING,BLK
BULLET,BLL
BUSINESS_LOGIC_MANAGER,BLM
BALANCE_SHEET,BLS
SEC_BLOCK_TRANSACTION,BLT
BLOX,BLX
BATCH_MAINFRAME_INTERFACE,BMI
BENCHMARK,BMK
BUMPER,BMP
BELGIAN_NATIONAL_BANK,BNB
BOND,BND
BENEFICIARY,BNF
BEING,BNG
BANK,BNK
BANKING,BNK
BUNDLE,BNL
BUNDLED,BNL
BUNDLING,BNL
BONDS_NUMBERING_SYSTEM,BNS
#BINARY_OBJECT,BO
BOOK,BOO
BORROW,BOR
BORROWING,BOR
BUSINESS_OUTPUT,BOU
BOX,BOX
BIPARTY_REPO,BPR
BONDLENDING_POSITION,BPS
BRANCH,BRA
BRADY_BOND,BRB
BREAKDOWN,BRD
BREAK,BRE
BRIDGE,BRG
BRACKET,BRK
BEARING,BRN
BROCHURE,BRO
BORROWER,BRR
BEFORE_REVALUATION,BRV
BORROWED,BRW
BASIC,BSC
BASE,BSD
BASED,BSD
BASE_INDEX,BSI
BASKET,BSK
BASELINE,BSL
BASIS_POINT,BSP
BISYNCHRONOUS,BSR
BEFORE_SECOND_WORKING_DAY,BSW
BUSY,BSY
BIRTH,BTH
BOTTOM,BTM
BUTTON,BTN
BUSINESS_TRANSACTION,BTR
BOOTSTRAP,BTS
BUFFER,BUF
BUILDER,BUI
BULLION,BUL
BUSINESS_UNIT,BUN
BUSINESS,BUS
BUY,BUY
BUYING,BUY
BOND_VALUE_ESTIMATION,BVE
BIPARTY_WEB,BWB
BROWSE,BWS
BACKUP_WITHHOLDING_TAX,BWT
BRUSSELS,BXL
BY_ORDER_OF,BYO
BYPASS,BYP
BUYER,BYR
BYTE,BYT
CABLE,CAB
CASH_COLLATERAL,CAC
CALENDAR_DAYS,CAD
CREDIT_AGREEMENT,CAG
CALCULATED,CAL
CALCULATION,CAL
CANCEL,CAN
CANCELLATION,CAN
CANCELLED,CAN
CAPTION,CAO
CAPITAL,CAP
CALENDAR,CAR
CASE,CAS
CATEGORY,CAT
CAPTURE,CAU
CALCULATION_VALUE,CAV
CA7,CA7
CENTRAL_BANK,CBA
CLIC,CBC
CONTABILE,CBE
COMBINATION_GROUP,CBG
CROSS_BORDER_INSTRUCTION,CBI
CALLBACK,CBK
CASH_BALANCE,CBL
CENTRAL_BANK_MONEY,CBM
COMBINATION,CBN
COMBO,CBN
CROSS_BORDER,CBO
CEDEL_BRIDGE,CBR
CLEARSTREAM_BRIDGE,CBR
COUNTRY_CEILINGS_BONDS,CCB
CREDIT_CASH_COLLATERAL,CCC
CONCERNED,CCD
CONTACT_CENTER,CCE
COACH,CCH
COUNCIL,CCL
CONCLUSION,CCN
CREDIT_CONDITION,CCO
CONCERNED_PARTICIPANT,CCP
ACCR_CONTROL_FILE,CCR
CASH_CORRESPONDENT,CCS
CONCENTRATION,CCT
COLLATERAL_CUSTODY_OPERAT,CCU
CASH_COUNTER_VALUE,CCV
CONCURRENCY,CCY
#CODE,CD
CARD,CDA
CASH_DEBIT_BALANCE,CDB
CORRESPONDENCE,CDC
COREDEAL,CDD
COLLATERAL_FOR_DELIVERIES,CDE
CASH_DIFFERENCE,CDF
CANDIDATE,CDI
CREDIT_LINE,CDL
CUSTOMIZED_NOTICE,CDN
COLLATERAL_FOR_DRAWINGS,CDR
CASH_CUSTODY_DISTRIBUTION,CDS
CONDITION,CDT
CALLED_X121,CDX
CUSTODIAN,CDY
CUSTODY,CDY
CDY_ENTITLEMENT_CMP,CEC
CEDEL,CED
CLEARSTREAM,CED
CARE,CEE
CLEAR_IN,CEI
COMPLETED,CEN
COMPLETION,CEN
CLEAR_OUT,CEO
CERTIFICATE,CER
CERTIFICATION,CER
CERTIFIED,CER
CREST,CES
CRESTCO,CES
CENTER,CET
CUSTODY_EVENT,CEV
DACE_EVENTS,CEV
CONFIRMED_BY,CFB
CONFIDENCE,CFC
CONFIRMED,CFD
CONFIGURATION,CFG
CONFIRMATION,CFM
CONFIRMATION_NOTE,CFN
COEFFICIENT,CFT
COST_OF_FUNDS,CFU
CALL_FORWARD,CFW
CHANGE,CGE
CALLING_X121,CGX
CHART,CHA
CHARGEABLE,CHB
CHANCE,CHC
CHILD,CHD
CHECK,CHE
CHARGE,CHG
CHARGED,CHG
CHARTERED,CHH
CHECKLIST,CHK
CHANNEL,CHL
CHANGE_MANAGEMENT,CHM
CHAIN,CHN
CHAINING,CHN
CHOICE,CHO
CHEQUE,CHQ
$CHARACTER,CHR
CHARACTERISTIC,CHT
CICS,CIC
COLLAR_IDENTIFICATION,CID
CONTINGENT,CIG
CLEARING_INSTRUCTION,CIN
CORRELATION,CIO
CURRENT_INCOME_PAYMENT,CIP
CARRIER,CIR
CHIPS,CIS
CITY,CIT
CONFIG_ITEM_VERSION,CIV
CHECK_IN,CKI
CHECK_OUT,CKO
CLEARNET,CLA
CALLABLE,CLB
CALCULATION_CURRENCY,CLC
CALL,CLD
CALLED,CLD
CLEAN,CLE
CLASSIFICATION,CLF
CLASSIFYING,CLF
CLOSING,CLG
CLEARING_HOUSE,CLH
CLIENT,CLI
CLOCK,CLK
COLUMN,CLL
CLAIM,CLM
CEILING,CLN
CALL_OPTION,CLO
CLEAR,CLR
CLEARANCE,CLR
CLEARED,CLR
CLEARER,CLR
CLEARING,CLR
CLASS,CLS
COLLECTED,CLT
COLLECTION,CLT
COLOUR,CLU
CLIENT_LEVEL,CLV
COMPLIANCE,CLY
COMPLY,CLY
COMPATIBILITY,CMB
COMMUNICATION_CHANNEL,CMC
COMMAND,CMD
COMPARATIVE,CME
COMPARE,CME
COMPARED,CME
COLLATERAL_MODIFICATION,CMF
COMMIT,CMI
COMMITMENT,CMI
COMMITTED,CMI
COMMERCIAL,CML
COMMENT,CMM
COMMUNICATIONS_NETWORK,CMN
COMMON,CMO
COMPENSATED,CMP
COMPENSATION,CMP
COMMAREA,CMR
COMSHARE,CMS
CURRENT_MONTH,CMT
COMMODITY,CMY
#CLASS_NAME,CN
CODIFIED_NARRATIVE,CNA
CANCEL_BACKLOG,CNB
CONCEPTUAL,CNC
CONDITIONAL,CND
CONNECTION,CNE
CONFIDENTIAL,CNF
CONFIDENTIALITY,CNF
CONFIDENTIALLY,CNF
CLEANING,CNG
CLASSIFICATION_HISTORY,CNH
COMMUNICATION,CNI
$CONSTANT,CNN
CALL_NOTICE,CNO
COUNTER_PARTY,CNP
COUNTER,CNR
CONSIDER,CNS
CONSIDERED,CNS
CENTRAL,CNT
CENTRE,CNT
CONVERSION,CNV
CONVERTED,CNV
CONVERTIBLE,CNV
CORRESPONDENT_ACCOUNT,COA
COLLATERAL_BALANCE,COB
CONCATENATION,COC
CODE,COD
CODED,COD
CODIFICATION,COD
CHANGE_OF,COF
CONTAINER,COG
COLLATERAL,COL
COLLATERALIZED,COL
COMMISSION,COM
CONTINGENCY,CON
COOPERATIVE,COO
COPY,COP
CORRESPONDENT,COR
CLOSE,COS
CLOSED,COS
COMPLEMENT,COT
COUNT,COU
COVERAGE,COV
COVERED,COV
CAPACITY,CPA
COUNTERPART_BALANCE,CPB
CASH_PROCEEDING,CPC
CROPS_REFERENCE_DATE,CPD
CORPORATE,CPE
COMMISSIONS_AND_PENALTIES,CPI
COMPILATION,CPL
COMPILE,CPL
CPSM,CPM
COUPON,CPN
COMPONENT,CPO
CAP,CPP
CHAPTER,CPR
CHAPS,CPS
COUNTERPART,CPT
CENTRAL_PROCESSING_UNIT,CPU
COMPUTER,CPU
CORPORATE_EVENT,CPV
COMPLEX,CPX
COMPANY,CPY
CLEARANCE_BALANCE,CRB
CYCLIC_REDUNDANCY_CHECK,CRC
CURRENT_DAY,CRD
CREDIT,CRE
CREDITED,CRE
CREDITOR,CRE
CREDIT_FACILITY,CRF
CURRENCY_GROUP,CRG
CRITERIA,CRI
CRITERION,CRI
CAPITAL_AT_RISK,CRK
CRITICAL,CRL
CRITICALITY,CRL
CODE_REDENOMINATION,CRM
CORRECTION,CRN
CROPS,CRO
CORPORATION,CRP
CURRENT,CRR
CORE_SYSTEM,CRS
CREATED,CRT
CREATION,CRT
CREATOR,CRT
CREDIT_LINE_USE,CRU
CURRICULUM_VITAE,CRV
CREDITWORTHY,CRW
CREDIT_SERVICE_A,CSA
CREDIT_SERVICE_B,CSB
CORE_STATISTICS,CSC
CASCADE,CSD
CENTRAL_SEC_DEPOSITARY,CSD
CSD,CSD
CAUSE,CSE
CASH_FLOW,CSF
CONSULTING,CSG
CASH,CSH
CRISIS,CSI
CONSOLIDATED,CSL
CONSOLIDATION,CSL
CHECK-SUM,CSM
CONSTRAINT,CSN
COST_OBJECT,CSO
COSTPOOL,CSP
CONSEQUENCE,CSQ
CERISO,CSR
CURSOR,CSR
COMPONENT_STATUS,CSS
COST,CST
COST_UNIT,CSU
CLIENT_SERVER,CSV
CONSISTENCY,CSY
#COUNT,CT
CONTRIBUTION,CTB
COUNT_CLASSIFICATION,CTC
CUSTOMIZED,CTD
CLUSTER,CTE
CUTOFF,CTF
CATALOG,CTG
CONTROL_INTERVAL,CTI
CREDIT_RISK,CTK
CONTROL,CTL
CONTROLLED,CTL
CONTROLLER,CTL
CONTROLLING,CTL
CONTROL_MESSAGE,CTM
CONTENT,CTN
COMPETITION,CTO
COMPETITOR,CTO
CONTROL_AUTOMATION_PROCES,CTP
CONTROL_TO_QUALITY,CTQ
CONTRACT,CTR
CONTRACTUAL,CTR
CLIENT_TRACKING_SYSTEM,CTS
CONTACT,CTT
CORPORATE_TRUST,CTU
CORTEX,CTX
COUNTRY,CTY
CAPITALIZATION,CTZ
CAPITALIZE,CTZ
CAPITALIZED,CTZ
CURRENT_COUPON,CUC
CLUSTERING,CUG
CUMULATED,CUM
CUMULATION,CUM
CUMULATIVE,CUM
CUSTODY_INSTRUCTION,CUN
CUSTOM,CUO
CUSIP,CUP
CURRENCY,CUR
CUSTOMER,CUS
CUTTING,CUT
CASH_VALUE_DATED,CVD
COST_VOLUME,CVL
COVENANT,CVN
CLEVER,CVR
CONVERSATIONAL,CVS
CONVENTION,CVT
CORPORATE_VOICE_NETWORK,CVW
CLAW_BACK,CWB
CUM_WARRANT,CWR
CHIEF_EXECUTIVE,CXE
CONTROLLED_DIRECT_NUMBER,CXN
$CONTEXT,CXT
CATEGORY_A,CYA
CATEGORY_B,CYB
CATEGORY_C,CYC
CATEGORY_D,CYD
CYCLE,CYL
CURRENT_YEAR,CYR
CURRENCY_SCHEME,CYS
COMPANY_UNIT,CYU
COUNTRY_ZONE,CYZ
CITIZENSHIP,CZS
DATABASE,DAB
DACE,DAC
DATA_ADMINISTRATION,DAD
DAILY,DAI
DATA_ACCESS_LAYER,DAL
DATA_MANAGER,DAM
DATA,DAT
DAILY_AVERAGE,DAV
DAY,DAY
DEBUG,DBG
DUN_AND_BRADSTREET,DBR
DEBT,DBT
DB2,DB2
DECIMAL_FIXED,DCF
DECREASING,DCG
DECLARATION,DCL
DECIMAL,DCM
DISCLOSED,DCO
DISCLOSURE,DCO
DECEMBER,DCR
DECISION,DCS
DISCOUNT,DCT
DISCOUNTED,DCT
DAILY_PEAK_CREDIT_USAGE,DCU
DISCOVERY,DCY
DEMAND_DEPOSIT_ACCOUNT,DDA
DEMAND_DEP_ACC_BALANCE,DDB
DEDICATED,DDC
DISTRIBUTED_DATA_FACILITY,DDF
DATA_DEFINITION_LANGUAGE,DDL
DDNAME,DDN
DEMAND_DEPOSIT,DDP
DATASET,DDS
DEAL,DEA
DEALER,DEA
DEALT,DEA
DEBIT,DEB
DECODE,DEC
DEED,DED
DEFAULT,DEF
DENSITY,DEI
DELETE,DEL
DELETION,DEL
DENOMINATION,DEN
DENOMINATOR,DEN
DEPOSITARY,DEP
$DERIVED,DER
DESK,DES
DEFECT,DET
DEVICE,DEV
DEFINITIVE_CONDITION,DFC
DISSOCIATION_FEE,DFE
DEFINITION,DFI
DEFINITIVE,DFN
DEFERRED,DFR
DEFICIT,DFT
DIGIT,DGT
DHL,DHL
DISTRIBUTED,DIB
DISTRIBUTION,DIB
DISTRIBUTOR,DIB
DISPERSION_CLASSIFICATION,DIC
DIFFERENCE,DIF
DIFFERENT,DIF
DIMENSION,DIM
DELIVERY_INSTRUCTION,DIN
DISPERSION,DIP
DIRECTORY,DIR
DISPOSITION,DIS
DIRTY,DIT
DIVIDE,DIV
DIVISION,DIV
DJDE,DJD
DELIVERABLE,DLB
DCLF,DLF
DCLGEN,DLG
DEADLOCK,DLK
DELIMITER,DLM
DEADLINE,DLN
DEAD_LETTER,DLR
DELTA,DLT
DELIVERER,DLV
DELIVERING,DLV
DELIVERY,DLV
DELAY,DLY
DELAYED,DLY
DOMICILE,DMC
DEMAND,DMD
DEMANDED,DMD
DEMANDING,DMG
DOMESTIC_MARKET,DMM
DEMONSTRATION,DMO
DOCUMENT_MGMT_RELEASE,DMR
DOMESTIC,DMT
DUMMY,DMY
DEMILITARIZED_ZONE,DMZ
DENY,DND
DESTINATION_GROUP,DNG
DOWNLOAD,DNL
DISCREPANCY,DNY
DOCUMENT_BASE,DOB
DOCUMENT,DOC
DOCUMENTATION,DOC
DOMAIN,DOM
DROP,DOP
DUE_OUT,DOT
DEPRECIATION_BALANCE,DPB
DISPATCHER,DPC
DISPATCHING,DPC
DEPENDENCE,DPD
DEPENDENCY,DPD
DEPENDENT,DPD
DEPENDING,DPD
DEPTH,DPH
DATA_PROCESSING_JOB,DPJ
DEPARTMENTAL_LEDGER,DPL
DEPLOYMENT,DPM
DEPOSIT,DPO
DEPOT,DPO
DEPORT,DPP
DEPRECIATION,DPR
DISPOSAL,DPS
DEPARTMENT,DPT
DEPOSITORY,DPY
DATA_QUALITY_MANAGEMENT,DQM
DISREGARDED,DRG
DERIVATION_RULE,DRL
DIRECTION,DRN
DIRECT,DRT
DERIVATION,DRV
DRAWING,DRW
DRAWN,DRW
#DESCRIPTION,DS
DISABLED,DSA
DSCB,DSB
DESCRIPTION,DSC
DESCRIPTIVE,DSC
DESELECTED,DSD
DEPOSITARY_SECURITY,DSE
DISSOCIATION_DIFFERENTIAL,DSF
DAILY_SETTLEMENT_LIMIT,DSI
DISK,DSK
DISPLACEMENT,DSL
DISCLAIMER,DSM
DISTINCT,DSN
DATA_SECURITY_OFFICER,DSO
DISPLAY,DSP
DISCRETIONARY,DSR
DISSOLUTION,DSS
DESTINATION,DST
DESTRUCTION,DSU
DEPOSITARY_SWIFT_OUTGOING,DSW
#DATE,DT
DETAIL,DTA
DETAILED,DTA
DECISION_TABLE,DTB
DETECTION,DTC
DATED,DTD
DATE,DTE
DEATH,DTH
DAYTIME,DTM
DETACHMENT,DTM
DISTANCE,DTN
DATE_RULE,DTR
DISTRESS,DTS
DATATYPE,DTT
DICTIONARY,DTY
DO_UNDO,DUD
DUE,DUE
DESTINATION_UNIT,DUN
DUPLICATE,DUP
DUPLICATED,DUP
DUPLICATION,DUP
DURATION,DUR
DUTY,DUT
DIVIDEND,DVD
DIVERSIFICATION,DVF
DRIVEN,DVN
DEVELOP,DVP
DEVELOPER,DVP
DEVELOPMENT,DVP
DRIVER,DVR
DATA_WAREHOUSE,DWH
DAYLIGHT,DYL
DYNAMIC,DYN
DYNAMIC_PROCEED,DYP
EUROCLEAR_BANK,EBK
EXCESS_AUTHORIZATION,ECA
EURO_SEC_CLEARING_CORP,ECC
EUCLID,ECL
ECONOMIC,ECO
EUROCLEAR_PAYMENT,ECP
EXCHANGE_RATE,ECR
ECSSC,ECS
EUROPEAN_CURRENCY_UNIT,ECU
EIDB,EDB
ENDING_DATE,EDD
EDITION,EDN
EDIT,EDT
EDUCATION,EDU
EDUCATIONAL,EDU
ELECTRONIC_FEES_ADVICE,EFA
EFFECTIVE,EFC
EFFICIENCY,EFF
EXPOSURE_FAMILY_NUMBER,EFN
EFFORT,EFO
EUROCLEAR_FRANCE,EFR
EUCLID_FOR_WINDOWS,EFW
ELIGIBILITY,EGB
ELIGIBLE,EGB
ENGLISH,EGL
EIGHTH,EIG
ELAPSED,ELA
ELECTRONIC,ELC
END_OF_LIFE,ELF
ELEVENTH,ELH
ELEMENT,ELM
ELECTRONIC_LAUNCH_SHEET,ELS
EMULATION,ELT
EMULATOR,ELT
EARLY,ELY
EMERGENCY,EMG
ERROR_MESSAGE_HANDLING,EMH
EMERGING_MARKET,EMK
E-MAIL,EML
EARLY_MORNING,EMN
EMPLOYEE,EMP
EVENT_MANAGEMENT_SYSTEM,EMS
ECONOMIC_MONETARY_UNION,EMU
END,END
ENDING,END
ENGAGEMENT,ENG
ENGINE,ENI
ENQUEUE,ENQ
ENTRY,ENR
ENTITY,ENT
ENVIRONMENT,ENV
EUROCLEAR,EOC
END_OF_DAY,EOD
EUROCLEAR_ONLINE,EOL
SEPG,EPG
EXPRESS_INSTRUCTION,EPI
EUROPEAN_PRE_ISSUE_MSG,EPM
EUROCLEAR_PARTY_NUMBER,EPN
ELIGIBILITY_PROFILE_PACKG,EPP
EXPRESS,EPR
EXPECTED,EPT
EQUIPMENT,EQI
EQUAL_TO,EQT
EQUIVALENT,EQU
EQUITY,EQY
#EXCHANGE_RATE,ER
EXTENDED_RPT_DISTRIBUTION,ERD
EARLIEST,ERL
EUROPE,ERP
EUROPEAN,ERP
